Step,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Orientation,Angular_Velocity_X,Angular_Velocity_Y,Angular_Velocity_Z,Action_Type,Action_Vector,Curiosity_Reward,World_Loss,Self_Loss,Reward_Trend
72,0.16289011452208105,0.02829637099629415,0.19998999999999575,2.2663516659821408,-1.1582021336686514,-2.937303178462969e-13,"(0.07330350440841998, 0.01205648042714843, 0.9960291691603169, 0.0490625285015286)",-0.23389801942553468,0.7616759718025451,-13.945714139608839,rotate_left,"[0, 0, 0, 5.0]",0.14562857151031494,0.02180955745279789,7.29217499610968e-05,0.2386823682344123
73,0.1723202758783539,0.023477592133688455,0.19998999999999623,2.2632387255054907,-1.1565069270253665,1.1328438187518941e-13,"(0.0752217888683294, 0.01046505504580672, 0.9940628604531787, 0.07791787067150119)",-0.22067858499844142,0.7819488888541118,-13.910923169109699,left,"[0, -50.0, 0, 0]",0.14668205380439758,0.022160986438393593,0.0004391899274196476,0.23743912074211482
74,0.18173747950016014,0.01866586894244622,0.19998999999999606,2.2601288692334984,-1.1548135658981362,-3.98361899023314e-14,"(0.07707411720882029, 0.009255718622549442, 0.9918274433117411, 0.10125332005893026)",-0.20749538506458529,0.8021767847218952,-11.27213075369713,rotate_left,"[0, 0, 0, 5.0]",0.14733938872814178,0.022383414208889008,4.1663810407044366e-05,0.2362377909819285
75,0.19114173829773767,0.013861193902866935,0.1999899999999961,2.257022111418607,-1.1531220094990287,3.851086116668512e-15,"(0.07892852269735495, 0.008022322245310954, 0.9890450128161767, 0.12448250187899586)",-0.19443757251577592,0.8227071134595058,-11.249018109047013,left,"[0, -50.0, 0, 0]",0.14776423573493958,0.02254820428788662,0.0002579454449005425,0.23507366525499443
76,0.20053306515306468,0.009063559511232847,0.19998999999999673,2.253918445278479,-1.1514322539921813,1.558059237183329e-13,"(0.08075003588416665, 0.007195803603414829, 0.9865063426891123, 0.1422423563828953)",-0.18140878821382916,0.8431992176208706,-8.621827067908848,rotate_left,"[0, 0, 0, 5.0]",0.1485743671655655,0.022818466648459435,3.079981979681179e-05,0.23395029774733953
77,0.20827564805191673,0.0037835335061321947,0.20010001378691655,1.858219895724492,-1.2672062412241565,0.02640330886075745,"(0.08254236574669414, 0.006368277031429565, 0.9836510763936167, 0.15992736730862928)",-0.18111657313503612,0.8418409839418888,-8.607938943189007,forward,"[50.0, 0, 0, 0]",0.14815761148929596,0.022705810144543648,0.0011162518057972193,0.23285039151326203
78,0.21601403791508286,-0.0014936330736641228,0.200039829106414,1.857213567159875,-1.2665199791511161,-0.014444323320612181,"(0.08427736957882662, 0.0059883291485994415, 0.9814302987892362, 0.17220927242559425)",-0.18082525007987413,0.8404868964436691,-5.989926547066604,rotate_left,"[0, 0, 0, 5.0]",0.14806945621967316,0.022702818736433983,5.566602339968085e-05,0.23177721511714067
79,0.22374823872430358,-0.006767942943489407,0.19980953811703955,1.8562081942129691,-1.2658343687580682,-0.05526983744986491,"(0.08599696377196113, 0.005607877705814641, 0.9790564254641951, 0.18444942311352877)",-0.1806127409771433,0.8394991410492131,-5.982887077106637,left,"[0, -50.0, 0, 0]",0.1481393724679947,0.022738419473171234,7.185455075386926e-08,0.23073174208402633
80,0.23146183160335257,-0.012026735263016767,0.1998239750676758,1.851262290971757,-1.2621101566865662,0.0034648681527007508,"(0.0877901467426462, 0.005635279486560424, 0.9775742074291891, 0.191336882825047)",-0.1424119964036295,0.8877792300099547,-3.3716963047160795,rotate_left,"[0, 0, 0, 5.0]",0.14768341183662415,0.022580722346901894,9.418890113011003e-05,0.22970645405628062
81,0.2391645670560662,-0.017277527778919503,0.19983725706226213,1.8486565086512694,-1.2601902038166568,0.0031876787007177124,"(0.08959589229312766, 0.0061152641120697845, 0.9770988300888123, 0.19290685801213064)",-0.12682673928974086,0.907189047437348,-0.7650067535544929,rotate_left,"[0, 0, 0, 5.0]",0.14785830676555634,0.022651270031929016,0.0001129651500377804,0.22870830591858887
82,0.24685645152179256,-0.022520324768657604,0.19984947649728071,1.8460522717743229,-1.2582712775371443,0.0029326644044624928,"(0.09141380168401758, 0.00705762986461519, 0.9776546174703507, 0.18916964783302756)",-0.11129305533820139,0.9269422370681838,1.8394395798847025,rotate_left,"[0, 0, 0, 5.0]",0.14710843563079834,0.02243276685476303,0.0001392644044244662,0.2277251749512661
83,0.25296134841281875,-0.028400217390609245,0.20000650259123,1.465175253846286,-1.4111742292683938,0.037686262547833006,"(0.09322909611618187, 0.0079993843297823, 0.9781920791637062, 0.1854308543611057)",-0.1112362439346744,0.9264690638830623,1.8385006071525876,forward,"[50.0, 0, 0, 0]",0.1467023342847824,0.022291509434580803,0.00024315023620147258,0.22676061732428415
84,0.2590631576569832,-0.03427713616511908,0.19999331037789322,1.4644342185994552,-1.4104605058823605,-0.00316613120083014,"(0.09504174549855379, 0.008940510756054672, 0.9787112331195973, 0.18169055023728206)",-0.11117948105327437,0.9259962948310536,1.837562436388938,right,"[0, 50.0, 0, 0]",0.14585517346858978,0.02204485423862934,0.0002924627042375505,0.22580878857304068
85,0.2651558874934249,-0.04014437007968668,0.1999899999999993,1.4622551607460137,-1.4081361394962248,-0.0007944906945393654,"(0.09689600701668273, 0.009846731023806014, 0.9792088490872181, 0.1779444733102257)",-0.09098117524086115,0.94350809320364,1.8366250665796462,left,"[0, -50.0, 0, 0]",0.14576146006584167,0.022045260295271873,0.00031440670136362314,0.2248780056834221
86,0.27123976441473147,-0.04600217205182043,0.199989999999999,1.4601304611135806,-1.4058724733121,-7.120692924189598e-14,"(0.09879006344933176, 0.010719138604229274, 0.979684906610026, 0.17419273001983984)",-0.07152780339642163,0.9603539904601087,1.8356863052351402,left,"[0, -50.0, 0, 0]",0.14572498202323914,0.022021913900971413,0.0002927160821855068,0.2239682008137648
87,0.27572370605951463,-0.052445890508859144,0.20016239697951707,1.0761459947479548,-1.5464924296892906,0.04137527508433624,"(0.10068130873597728, 0.01159089960952675, 0.9801424624904369, 0.17043966187667461)",-0.07149116978340596,0.9598621364568536,1.8347461418506803,forward,"[50.0, 0, 0, 0]",0.14441928267478943,0.021635405719280243,0.00028626574203372,0.22306423583491283
88,0.2786054448220355,-0.0594625116854436,0.2005140776578712,0.6916173030050037,-1.683989082380269,0.08440336280498639,"(0.10256971132592674, 0.012461998499738355, 0.9805815364588216, 0.16668534209091476)",-0.07145456758278013,0.9593707042058753,1.83380678463237,forward,"[50.0, 0, 0, 0]",0.1432223618030548,0.021319283172488213,0.00015871430514380336,0.2221671361266897
89,0.281485827996766,-0.06647583219990007,0.2006954540145637,0.6912919619353292,-1.6831969234695516,0.04353032560620639,"(0.10445523980571375, 0.01333241978775118, 0.9810021485644232, 0.16292984371108693)",-0.07141799675466107,0.9588796931716916,1.8328682325566519,left,"[0, -50.0, 0, 0]",0.1424168050289154,0.021096860989928246,0.00014586985344067216,0.22128102133671443
90,0.2843648573213602,-0.07348585628316699,0.20070660623106903,0.6909670379025973,-1.6824057799840633,0.002676531961281259,"(0.10633786289929074, 0.01420214803944692, 0.9814043191737946, 0.1591732396230538)",-0.07138145725923319,0.9583891028197262,1.8319304846017006,right,"[0, 50.0, 0, 0]",0.14163783192634583,0.02091335505247116,0.00012182835052954033,0.220405821453084
91,0.28724253409141276,-0.0804925870898322,0.20054761431942622,0.6906424248126196,-1.6816153935996494,-0.03815805879427733,"(0.10821754946821734, 0.01507116787384737, 0.9817880689692345, 0.15541560254901643)",-0.07134494905674824,0.9578989326163072,1.8309935397474186,right,"[0, 50.0, 0, 0]",0.13984309136867523,0.020436951890587807,8.773015724727884e-05,0.21953013960434042
92,0.2901188591610483,-0.08749602669956652,0.2002185582004694,0.6903180167125227,-1.6808255063362374,-0.07897346854963153,"(0.11017668427229009, 0.015352438493657711, 0.981316095907401, 0.15698446033961183)",-0.07130847210752518,0.9574091820286647,-0.7741092696912326,rotate_right,"[0, 0, 0, -5.0]",0.13819672167301178,0.020057309418916702,8.375192555831745e-05,0.2186555867233584
93,0.29299383294417214,-0.09449617612017033,0.1997195177819293,0.6899937079497214,-1.6800358609449138,-0.11976970044962632,"(0.11221505407978567, 0.01503539927517415, 0.9799631151459645, 0.16387193585212861)",-0.07128193022668884,0.9570528226835542,-3.3779878034701327,rotate_right,"[0, 0, 0, -5.0]",0.13610312342643738,0.019574273377656937,8.529475599061698e-05,0.2177773690287103
94,0.29744000896654,-0.10089424042080693,0.19974115635937373,1.0670822453682889,-1.5355354321527828,0.005193258586662697,"(0.114456910841042, 0.01445682943320573, 0.9785441946129932, 0.1707099142776222)",0.0699348820581719,1.036107628054018,-3.375447741956523,backward,"[-50.0, 0, 0, 0]",0.1336262822151184,0.018974358215928078,2.1171410480747e-05,0.21689156811488303
95,0.30187991506086853,-0.10728191329647754,0.19976106385062423,1.0655774626388475,-1.5330414901609482,0.004777797900118508,"(0.11679638291122724, 0.013215793596512457, 0.9760932550729476, 0.18282752839648056)",0.09187540599503663,1.0477548174134077,-5.97706505676176,rotate_right,"[0, 0, 0, -5.0]",0.131687730550766,0.018429795280098915,0.00011295501462882385,0.2160040281402568
96,0.304745016633638,-0.114280815734678,0.20001506034487815,0.6876243774646689,-1.6797365851681128,0.06095915862094062,"(0.11911446114429378, 0.011974110903362754, 0.9734894432710738, 0.1949016922813995)",0.09176716299957716,1.0465204052362245,-5.970023178483312,forward,"[50.0, 0, 0, 0]",0.12968608736991882,0.017881160601973534,0.000997153460048139,0.21511415246221208
97,0.3076087734921692,-0.12127643328976984,0.20009879873886668,0.6873016460474828,-1.6789482132220377,0.02009721455724786,"(0.12146596463329859, 0.01008483153709967, 0.9695965025353387, 0.21219551804835413)",0.09165915688756475,1.045288694497694,-8.567163377609145,rotate_right,"[0, 0, 0, -5.0]",0.12729887664318085,0.01717539131641388,0.00016403748304583132,0.21421807821916075
98,0.31047118710951366,-0.12826876956014,0.20001235896658864,0.6869792681626732,-1.6781607048888392,-0.020745545346728497,"(0.12377451477681438, 0.008195331625061449, 0.9653970644951851, 0.229393142651211)",0.09151202587349803,1.0436108001024555,-8.55341139168406,right,"[0, 50.0, 0, 0]",0.12654586136341095,0.016896134242415428,5.517858170378531e-09,0.21333250027112285
99,0.3133322585181654,-0.13525782706797632,0.19975582083772392,0.6866571380764059,-1.677373801880715,-0.061569150927534344,"(0.12603956914344236, 0.006306225092423039, 0.960893963713419, 0.24648945014814314)",0.09136534234641047,1.0419380088861698,-8.539701231302544,left,"[0, -50.0, 0, 0]",0.12526412308216095,0.016495997086167336,2.7604644401435507e-06,0.21245181649923325
